NAICS CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,Employment Size of the Enterprise,,,,,,,,
422520,Livestock whsle,"Annual Payroll ($1,000)","252,169","3,904","23,345","22,714","31,282","81,245","134,769","16,890","232,904","19,265"
422520,Livestock whsle,"Receipts ($1,000)","20,436,855","124,753","2,191,425","1,556,966","2,512,959","6,386,103","10,889,762","1,204,726","18,480,591","1,956,264"
42259,Other farm product raw material whsle,Firms,"1,242",162,618,204,115,"1,099",104,22,"1,225",17
42259,Other farm product raw material whsle,Establishments,"1,365",162,621,209,120,"1,112",137,61,"1,310",55
42259,Other farm product raw material whsle,Employment,"10,779",0,"1,316","1,322","1,541","4,179","3,494","1,553","9,226","1,553"
42259,Other farm product raw material whsle,"Annual Payroll ($1,000)","384,089","5,464","48,629","40,430","42,108","136,631","107,107","70,085","313,823","70,266"
42259,Other farm product raw material whsle,"Receipts ($1,000)","14,557,898","201,618","2,242,746","1,235,983","1,149,006","4,829,353","2,983,783","3,095,128","10,908,264","3,649,634"
422590,Other farm product raw material whsle,Firms,"1,242",162,618,204,115,"1,099",104,22,"1,225",17
422590,Other farm product raw material whsle,Establishments,"1,365",162,621,209,120,"1,112",137,61,"1,310",55
422590,Other farm product raw material whsle,Employment,"10,779",0,"1,316","1,322","1,541","4,179","3,494","1,553","9,226","1,553"
422590,Other farm product raw material whsle,"Annual Payroll ($1,000)","384,089","5,464","48,629","40,430","42,108","136,631","107,107","70,085","313,823","70,266"
422590,Other farm product raw material whsle,"Receipts ($1,000)","14,557,898","201,618","2,242,746","1,235,983","1,149,006","4,829,353","2,983,783","3,095,128","10,908,264","3,649,634"
4226,Chemical & allied products whsle,Firms,"10,587",973,"4,930","1,806","1,230","8,939","1,152",268,"10,359",228
4226,Chemical & allied products whsle,Establishments,"15,570",973,"4,947","1,843","1,335","9,098","1,749",874,"11,721","3,849"
4226,Chemical & allied products whsle,Employment,"156,828",0,"10,269","11,860","16,313","38,442","38,790","20,286","97,518","59,310"
4226,Chemical & allied products whsle,"Annual Payroll ($1,000)","8,025,340","58,474","458,386","550,826","774,103","1,841,789","1,866,008","958,895","4,666,692","3,358,648"
4226,Chemical & allied products whsle,"Receipts ($1,000)","117,983,393","798,877","6,842,796","6,571,766","7,139,629","21,353,068","16,899,487","12,311,094","50,563,649","67,419,744"
42261,Plastics materials & basic forms & shapes whsle,Firms,"2,997",286,"1,359",473,356,"2,474",352,92,"2,918",79
42261,Plastics materials & basic forms & shapes whsle,Establishments,"3,717",286,"1,362",483,393,"2,524",518,281,"3,323",394
42261,Plastics materials & basic forms & shapes whsle,Employment,"40,079",0,"2,855","3,120","4,820","10,795","12,566","6,993","30,354","9,725"
42261,Plastics materials & basic forms & shapes whsle,"Annual Payroll ($1,000)","1,941,899","14,459","146,547","153,582","219,283","533,871","565,302","309,250","1,408,423","533,476"
42261,Plastics materials & basic forms & shapes whsle,"Receipts ($1,000)","32,648,096","243,856","2,530,203","2,495,455","2,319,258","7,588,772","5,785,189","4,090,777","17,464,738","15,183,358"
422610,Plastics materials & basic forms & shapes whsle,Firms,"2,997",286,"1,359",473,356,"2,474",352,92,"2,918",79
422610,Plastics materials & basic forms & shapes whsle,Establishments,"3,717",286,"1,362",483,393,"2,524",518,281,"3,323",394
422610,Plastics materials & basic forms & shapes whsle,Employment,"40,079",0,"2,855","3,120","4,820","10,795","12,566","6,993","30,354","9,725"
422610,Plastics materials & basic forms & shapes whsle,"Annual Payroll ($1,000)","1,941,899","14,459","146,547","153,582","219,283","533,871","565,302","309,250","1,408,423","533,476"
422610,Plastics materials & basic forms & shapes whsle,"Receipts ($1,000)","32,648,096","243,856","2,530,203","2,495,455","2,319,258","7,588,772","5,785,189","4,090,777","17,464,738","15,183,358"
42269,Other chemical & allied products whsle,Firms,"7,622",687,"3,571","1,333",874,"6,465",803,186,"7,454",168
42269,Other chemical & allied products whsle,Establishments,"11,853",687,"3,585","1,360",942,"6,574","1,231",593,"8,398","3,455"
42269,Other chemical & allied products whsle,Employment,"116,749",0,"7,414","8,740","11,493","27,647","26,224","13,293","67,164","49,585"
42269,Other chemical & allied products whsle,"Annual Payroll ($1,000)","6,083,441","44,015","311,839","397,244","554,820","1,307,918","1,300,706","649,645","3,258,269","2,825,172"
42269,Other chemical & allied products whsle,"Receipts ($1,000)","85,335,297","555,021","4,312,593","4,076,311","4,820,371","13,764,296","11,114,298","8,220,317","33,098,911","52,236,386"
422690,Other chemical & allied products whsle,Firms,"7,622",687,"3,571","1,333",874,"6,465",803,186,"7,454",168
422690,Other chemical & allied products whsle,Establishments,"11,853",687,"3,585","1,360",942,"6,574","1,231",593,"8,398","3,455"
422690,Other chemical & allied products whsle,Employment,"116,749",0,"7,414","8,740","11,493","27,647","26,224","13,293","67,164","49,585"
422690,Other chemical & allied products whsle,"Annual Payroll ($1,000)","6,083,441","44,015","311,839","397,244","554,820","1,307,918","1,300,706","649,645","3,258,269","2,825,172"
422690,Other chemical & allied products whsle,"Receipts ($1,000)","85,335,297","555,021","4,312,593","4,076,311","4,820,371","13,764,296","11,114,298","8,220,317","33,098,911","52,236,386"
4227,Petroleum & petroleum products whsle,Firms,"6,910",336,"2,061","1,326","1,159","4,882","1,434",436,"6,752",158
4227,Petroleum & petroleum products whsle,Establishments,"9,806",341,"2,069","1,365","1,304","5,079","1,964",951,"7,994","1,812"
4227,Petroleum & petroleum products whsle,Employment,"121,984",0,"4,718","8,713","14,395","27,826","38,291","25,407","91,524","30,460"
4227,Petroleum & petroleum products whsle,"Annual Payroll ($1,000)","5,214,008","19,375","167,170","287,836","517,558","991,939","1,504,611","865,123","3,361,673","1,852,335"
4227,Petroleum & petroleum products whsle,"Receipts ($1,000)","317,499,567","650,140","7,090,756","8,698,983","17,225,512","33,665,391","62,797,916","24,588,436","121,051,743","196,447,824"
42271,Petroleum bulk stations & terminals,Firms,"4,332",110,952,849,834,"2,745","1,136",339,"4,220",112
42271,Petroleum bulk stations & terminals,Establishments,"6,532",115,958,875,951,"2,899","1,547",709,"5,155","1,377"
42271,Petroleum bulk stations & terminals,Employment,"87,956",0,"2,367","5,654","10,321","18,342","29,416","18,734","66,492","21,464"
42271,Petroleum bulk stations & terminals,"Annual Payroll ($1,000)","3,485,137","5,281","69,265","173,312","331,836","579,694","1,072,800","636,237","2,288,731","1,196,406"
42271,Petroleum bulk stations & terminals,"Receipts ($1,000)","214,437,460","147,539","2,063,044","4,951,394","8,290,039","15,452,016","36,004,164","17,830,297","69,286,477","145,150,983"
422710,Petroleum bulk stations & terminals,Firms,"4,332",110,952,849,834,"2,745","1,136",339,"4,220",112
422710,Petroleum bulk stations & terminals,Establishments,"6,532",115,958,875,951,"2,899","1,547",709,"5,155","1,377"
422710,Petroleum bulk stations & terminals,Employment,"87,956",0,"2,367","5,654","10,321","18,342","29,416","18,734","66,492","21,464"
422710,Petroleum bulk stations & terminals,"Annual Payroll ($1,000)","3,485,137","5,281","69,265","173,312","331,836","579,694","1,072,800","636,237","2,288,731","1,196,406"
422710,Petroleum bulk stations & terminals,"Receipts ($1,000)","214,437,460","147,539","2,063,044","4,951,394","8,290,039","15,452,016","36,004,164","17,830,297","69,286,477","145,150,983"
42272,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Firms,"2,720",226,"1,109",481,330,"2,146",344,140,"2,630",90
42272,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Establishments,"3,274",226,"1,111",490,353,"2,180",417,242,"2,839",435
42272,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Employment,"34,028",0,"2,351","3,059","4,074","9,484","8,875","6,673","25,032","8,996"
42272,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),"Annual Payroll ($1,000)","1,728,871","14,094","97,905","114,524","185,722","412,245","431,811","228,886","1,072,942","655,929"
42272,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),"Receipts ($1,000)","103,062,107","502,601","5,027,712","3,747,589","8,935,473","18,213,375","26,793,752","6,758,139","51,765,266","51,296,841"
422720,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Firms,"2,720",226,"1,109",481,330,"2,146",344,140,"2,630",90
422720,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Establishments,"3,274",226,"1,111",490,353,"2,180",417,242,"2,839",435
422720,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),Employment,"34,028",0,"2,351","3,059","4,074","9,484","8,875","6,673","25,032","8,996"
422720,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),"Annual Payroll ($1,000)","1,728,871","14,094","97,905","114,524","185,722","412,245","431,811","228,886","1,072,942","655,929"
422720,Petroleum & petroleum prod whsle (exc. bulk stations & terminals),"Receipts ($1,000)","103,062,107","502,601","5,027,712","3,747,589","8,935,473","18,213,375","26,793,752","6,758,139","51,765,266","51,296,841"
4228,"Beer, wine, & distilled alcoholic beverage whsle",Firms,"3,556",276,951,482,442,"2,151","1,009",331,"3,491",65
4228,"Beer, wine, & distilled alcoholic beverage whsle",Establishments,"4,377",276,954,490,457,"2,177","1,153",633,"3,963",414
4228,"Beer, wine, & distilled alcoholic beverage whsle",Employment,"163,239",0,"2,083","3,212","6,194","11,489","45,154","57,832","114,475","48,764"
4228,"Beer, wine, & distilled alcoholic beverage whsle","Annual Payroll ($1,000)","7,348,325","43,747","73,303","119,845","246,433","483,328","1,865,139","2,555,179","4,903,646","2,444,679"
4228,"Beer, wine, & distilled alcoholic beverage whsle","Receipts ($1,000)","87,988,670","635,117","1,058,580","1,450,212","2,962,013","6,105,922","18,429,511","30,247,467","54,782,900","33,205,770"
42281,Beer & ale whsle,Firms,"2,142",109,417,261,274,"1,061",788,259,"2,108",34
42281,Beer & ale whsle,Establishments,"2,545",109,417,266,285,"1,077",896,464,"2,437",108
42281,Beer & ale whsle,Employment,"99,754",0,927,"1,758","3,888","6,573","35,699","43,429","85,701","14,053"
42281,Beer & ale whsle,"Annual Payroll ($1,000)","3,981,868","9,458","29,237","56,756","133,725","229,176","1,404,562","1,771,262","3,405,000","576,868"
42281,Beer & ale whsle,"Receipts ($1,000)","43,239,043","134,608","405,306","641,194","1,319,067","2,500,175","13,436,928","19,228,064","35,165,167","8,073,876"
422810,Beer & ale whsle,Firms,"2,142",109,417,261,274,"1,061",788,259,"2,108",34
422810,Beer & ale whsle,Establishments,"2,545",109,417,266,285,"1,077",896,464,"2,437",108
422810,Beer & ale whsle,Employment,"99,754",0,927,"1,758","3,888","6,573","35,699","43,429","85,701","14,053"
422810,Beer & ale whsle,"Annual Payroll ($1,000)","3,981,868","9,458","29,237","56,756","133,725","229,176","1,404,562","1,771,262","3,405,000","576,868"
422810,Beer & ale whsle,"Receipts ($1,000)","43,239,043","134,608","405,306","641,194","1,319,067","2,500,175","13,436,928","19,228,064","35,165,167","8,073,876"
42282,Wine & distilled alcoholic beverage whsle,Firms,"1,440",167,534,222,168,"1,091",228,79,"1,398",42
42282,Wine & distilled alcoholic beverage whsle,Establishments,"1,832",167,537,224,172,"1,100",257,169,"1,526",306
42282,Wine & distilled alcoholic beverage whsle,Employment,"63,485",0,"1,156","1,454","2,306","4,916","9,455","14,403","28,774","34,711"
42282,Wine & distilled alcoholic beverage whsle,"Annual Payroll ($1,000)","3,366,457","34,289","44,066","63,089","112,708","254,152","460,577","783,917","1,498,646","1,867,811"
42282,Wine & distilled alcoholic beverage whsle,"Receipts ($1,000)","44,749,627","500,509","653,274","809,018","1,642,946","3,605,747","4,992,583","11,019,403","19,617,733","25,131,894"
422820,Wine & distilled alcoholic beverage whsle,Firms,"1,440",167,534,222,168,"1,091",228,79,"1,398",42
422820,Wine & distilled alcoholic beverage whsle,Establishments,"1,832",167,537,224,172,"1,100",257,169,"1,526",306
422820,Wine & distilled alcoholic beverage whsle,Employment,"63,485",0,"1,156","1,454","2,306","4,916","9,455","14,403","28,774","34,711"
422820,Wine & distilled alcoholic beverage whsle,"Annual Payroll ($1,000)","3,366,457","34,289","44,066","63,089","112,708","254,152","460,577","783,917","1,498,646","1,867,811"
422820,Wine & distilled alcoholic beverage whsle,"Receipts ($1,000)","44,749,627","500,509","653,274","809,018","1,642,946","3,605,747","4,992,583","11,019,403","19,617,733","25,131,894"
4229,Miscellaneous nondurable goods whsle,Firms,"32,018","4,384","15,748","5,031","3,071","28,234","2,815",631,"31,680",338
4229,Miscellaneous nondurable goods whsle,Establishments,"36,925","4,393","15,766","5,093","3,249","28,501","3,718","1,704","33,923","3,002"
4229,Miscellaneous nondurable goods whsle,Employment,"401,308",0,"32,081","32,876","40,375","105,332","99,096","66,897","271,325","129,983"
4229,Miscellaneous nondurable goods whsle,"Annual Payroll ($1,000)","14,222,723","162,248","958,286","1,017,562","1,286,074","3,424,170","3,288,201","2,463,689","9,176,060","5,046,663"
4229,Miscellaneous nondurable goods whsle,"Receipts ($1,000)","252,199,787","2,116,668","14,658,153","13,000,280","14,208,209","43,983,310","37,542,528","48,601,418","130,127,256","122,072,531"
42291,Farm supplies whsle,Firms,"4,825",421,"2,071",935,586,"4,013",569,167,"4,749",76
42291,Farm supplies whsle,Establishments,"7,052",429,"2,078",948,653,"4,108",958,606,"5,672","1,380"
42291,Farm supplies whsle,Employment,"72,542",0,"4,525","6,157","7,617","18,299","17,456","11,676","47,431","25,111"
42291,Farm supplies whsle,"Annual Payroll ($1,000)","2,711,113","20,605","117,915","180,956","246,631","566,107","614,999","446,706","1,627,812","1,083,301"
42291,Farm supplies whsle,"Receipts ($1,000)","46,870,897","360,386","2,342,571","2,558,263","3,065,849","8,327,069","7,967,961","7,340,453","23,635,483","23,235,414"
422910,Farm supplies whsle,Firms,"4,825",421,"2,071",935,586,"4,013",569,167,"4,749",76
422910,Farm supplies whsle,Establishments,"7,052",429,"2,078",948,653,"4,108",958,606,"5,672","1,380"
422910,Farm supplies whsle,Employment,"72,542",0,"4,525","6,157","7,617","18,299","17,456","11,676","47,431","25,111"
422910,Farm supplies whsle,"Annual Payroll ($1,000)","2,711,113","20,605","117,915","180,956","246,631","566,107","614,999","446,706","1,627,812","1,083,301"
422910,Farm supplies whsle,"Receipts ($1,000)","46,870,897","360,386","2,342,571","2,558,263","3,065,849","8,327,069","7,967,961","7,340,453","23,635,483","23,235,414"
42292,"Book, periodical, & newspaper whsle",Firms,"2,854",283,"1,353",405,275,"2,316",322,123,"2,761",93
42292,"Book, periodical, & newspaper whsle",Establishments,"3,776",283,"1,353",406,288,"2,330",390,287,"3,007",769
42292,"Book, periodical, & newspaper whsle",Employment,"80,385",0,"2,811","2,675","3,586","9,072","11,918","12,480","33,470","46,915"
42292,"Book, periodical, & newspaper whsle","Annual Payroll ($1,000)","2,780,791","11,395","89,738","104,820","128,009","333,962","382,799","389,936","1,106,697","1,674,094"
42292,"Book, periodical, & newspaper whsle","Receipts ($1,000)","35,146,741","105,178","957,562","776,670","875,372","2,714,782","3,284,463","3,708,980","9,708,225","25,438,516"
422920,"Book, periodical, & newspaper whsle",Firms,"2,854",283,"1,353",405,275,"2,316",322,123,"2,761",93
422920,"Book, periodical, & newspaper whsle",Establishments,"3,776",283,"1,353",406,288,"2,330",390,287,"3,007",769
422920,"Book, periodical, & newspaper whsle",Employment,"80,385",0,"2,811","2,675","3,586","9,072","11,918","12,480","33,470","46,915"
422920,"Book, periodical, & newspaper whsle","Annual Payroll ($1,000)","2,780,791","11,395","89,738","104,820","128,009","333,962","382,799","389,936","1,106,697","1,674,094"
422920,"Book, periodical, & newspaper whsle","Receipts ($1,000)","35,146,741","105,178","957,562","776,670","875,372","2,714,782","3,284,463","3,708,980","9,708,225","25,438,516"
42293,"Flower, nursery stock, & florists' supplies whsle",Firms,"4,309",478,"1,753",805,615,"3,651",544,91,"4,286",23
42293,"Flower, nursery stock, & florists' supplies whsle",Establishments,"4,751",478,"1,753",819,641,"3,691",698,286,"4,675",76
42293,"Flower, nursery stock, & florists' supplies whsle",Employment,"59,335",0,"3,788","5,408","8,232","17,428","21,345","13,251","52,024","7,311"
42293,"Flower, nursery stock, & florists' supplies whsle","Annual Payroll ($1,000)","1,632,166","16,859","95,669","133,713","208,380","454,621","577,484","369,680","1,401,785","230,381"
42293,"Flower, nursery stock, & florists' supplies whsle","Receipts ($1,000)","10,761,904","169,103","972,236","1,158,298","1,353,969","3,653,606","3,571,532","2,242,515","9,467,653","1,294,251"
422930,"Flower, nursery stock, & florists' supplies whsle",Firms,"4,309",478,"1,753",805,615,"3,651",544,91,"4,286",23
422930,"Flower, nursery stock, & florists' supplies whsle",Establishments,"4,751",478,"1,753",819,641,"3,691",698,286,"4,675",76
422930,"Flower, nursery stock, & florists' supplies whsle",Employment,"59,335",0,"3,788","5,408","8,232","17,428","21,345","13,251","52,024","7,311"
422930,"Flower, nursery stock, & florists' supplies whsle","Annual Payroll ($1,000)","1,632,166","16,859","95,669","133,713","208,380","454,621","577,484","369,680","1,401,785","230,381"
422930,"Flower, nursery stock, & florists' supplies whsle","Receipts ($1,000)","10,761,904","169,103","972,236","1,158,298","1,353,969","3,653,606","3,571,532","2,242,515","9,467,653","1,294,251"
42294,Tobacco & tobacco product whsle,Firms,"1,354",150,426,218,190,984,268,67,"1,319",35
42294,Tobacco & tobacco product whsle,Establishments,"1,597",150,426,228,199,"1,003",296,94,"1,393",204
42294,Tobacco & tobacco product whsle,Employment,"55,571",0,914,"1,419","2,525","4,858","10,741","11,300","26,899","28,672"
42294,Tobacco & tobacco product whsle,"Annual Payroll ($1,000)","2,072,610","6,088","28,098","41,106","75,347","150,639","332,342","493,939","976,920","1,095,690"
42294,Tobacco & tobacco product whsle,"Receipts ($1,000)","83,827,872","256,760","886,747","1,509,700","2,549,384","5,202,591","10,389,891","16,345,660","31,938,142","51,889,730"
422940,Tobacco & tobacco product whsle,Firms,"1,354",150,426,218,190,984,268,67,"1,319",35
422940,Tobacco & tobacco product whsle,Establishments,"1,597",150,426,228,199,"1,003",296,94,"1,393",204
422940,Tobacco & tobacco product whsle,Employment,"55,571",0,914,"1,419","2,525","4,858","10,741","11,300","26,899","28,672"
422940,Tobacco & tobacco product whsle,"Annual Payroll ($1,000)","2,072,610","6,088","28,098","41,106","75,347","150,639","332,342","493,939","976,920","1,095,690"
422940,Tobacco & tobacco product whsle,"Receipts ($1,000)","83,827,872","256,760","886,747","1,509,700","2,549,384","5,202,591","10,389,891","16,345,660","31,938,142","51,889,730"
42295,"Paint, varnish, & supplies whsle",Firms,"1,457",131,571,303,195,"1,200",193,38,"1,431",26
42295,"Paint, varnish, & supplies whsle",Establishments,"2,110",132,574,311,235,"1,252",340,185,"1,777",333
42295,"Paint, varnish, & supplies whsle",Employment,"20,224",0,"1,236","1,996","2,618","5,850","5,855","2,537","14,242","5,982"
42295,"Paint, varnish, & supplies whsle","Annual Payroll ($1,000)","824,718","4,178","43,071","64,779","96,420","208,448","225,721","111,849","546,018","278,700"
42295,"Paint, varnish, & supplies whsle","Receipts ($1,000)","9,335,797","35,412","506,738","682,717","755,443","1,980,310","1,726,110","1,048,742","4,755,162","4,580,635"
422950,"Paint, varnish, & supplies whsle",Firms,"1,457",131,571,303,195,"1,200",193,38,"1,431",26
422950,"Paint, varnish, & supplies whsle",Establishments,"2,110",132,574,311,235,"1,252",340,185,"1,777",333
422950,"Paint, varnish, & supplies whsle",Employment,"20,224",0,"1,236","1,996","2,618","5,850","5,855","2,537","14,242","5,982"
422950,"Paint, varnish, & supplies whsle","Annual Payroll ($1,000)","824,718","4,178","43,071","64,779","96,420","208,448","225,721","111,849","546,018","278,700"
422950,"Paint, varnish, & supplies whsle","Receipts ($1,000)","9,335,797","35,412","506,738","682,717","755,443","1,980,310","1,726,110","1,048,742","4,755,162","4,580,635"
42299,Other miscellaneous nondurable goods whsle,Firms,"17,259","2,921","9,575","2,365","1,211","16,072",925,156,"17,153",106
42299,Other miscellaneous nondurable goods whsle,Establishments,"17,639","2,921","9,582","2,381","1,233","16,117","1,036",246,"17,399",240
42299,Other miscellaneous nondurable goods whsle,Employment,"113,251",0,"18,807","15,221","15,797","49,825","31,781","15,653","97,259","15,992"
42299,Other miscellaneous nondurable goods whsle,"Annual Payroll ($1,000)","4,201,325","103,123","583,795","492,188","531,287","1,710,393","1,154,856","651,579","3,516,828","684,497"
42299,Other miscellaneous nondurable goods whsle,"Receipts ($1,000)","66,256,576","1,189,829","8,992,299","6,314,632","5,608,192","22,104,952","10,602,571","17,915,068","50,622,591","15,633,985"
422990,Other miscellaneous nondurable goods whsle,Firms,"17,259","2,921","9,575","2,365","1,211","16,072",925,156,"17,153",106
422990,Other miscellaneous nondurable goods whsle,Establishments,"17,639","2,921","9,582","2,381","1,233","16,117","1,036",246,"17,399",240
422990,Other miscellaneous nondurable goods whsle,Employment,"113,251",0,"18,807","15,221","15,797","49,825","31,781","15,653","97,259","15,992"
422990,Other miscellaneous nondurable goods whsle,"Annual Payroll ($1,000)","4,201,325","103,123","583,795","492,188","531,287","1,710,393","1,154,856","651,579","3,516,828","684,497"
422990,Other miscellaneous nondurable goods whsle,"Receipts ($1,000)","66,256,576","1,189,829","8,992,299","6,314,632","5,608,192","22,104,952","10,602,571","17,915,068","50,622,591","15,633,985"
44-45,Retail Trade,Firms,"736,130","85,489","343,608","150,478","85,819","665,394","59,639","8,723","733,756","2,374"
44-45,Retail Trade,Establishments,"1,125,693","85,730","344,450","153,900","96,305","680,385","98,116","51,814","830,315","295,378"
44-45,Retail Trade,Employment,"14,819,904",0,"771,070","987,573","1,130,838","2,889,481","2,204,104","1,267,733","6,361,318","8,458,586"
44-45,Retail Trade,"Annual Payroll ($1,000)","320,707,026","2,683,505","13,673,540","18,972,304","24,053,861","59,383,210","60,539,727","37,139,109","157,062,046","163,644,980"
44-45,Retail Trade,"Receipts ($1,000)","3,134,452,697","33,261,163","150,145,969","161,071,445","190,023,515","534,502,092","574,415,110","382,843,754","1,491,760,956","1,642,691,741"
441,Motor vehicle & parts dealers,Firms,"96,890","9,007","38,991","17,469","11,797","77,264","16,460","2,913","96,637",253
441,Motor vehicle & parts dealers,Establishments,"126,644","9,019","39,051","17,782","12,775","78,627","20,523","7,024","106,174","20,470"
441,Motor vehicle & parts dealers,Employment,"1,890,916",0,"86,420","114,879","158,330","359,629","708,139","441,078","1,508,846","382,070"
441,Motor vehicle & parts dealers,"Annual Payroll ($1,000)","67,996,832","633,858","1,924,618","2,858,785","4,450,567","9,867,828","27,292,583","18,970,092","56,130,503","11,866,329"
441,Motor vehicle & parts dealers,"Receipts ($1,000)","813,208,907","11,184,171","27,909,176","28,605,136","46,009,266","113,707,749","339,756,508","230,004,195","683,468,452","129,740,455"
4411,Automobile dealers,Firms,"47,912","4,557","18,044","5,700","4,638","32,939","12,357","2,482","47,778",134
4411,Automobile dealers,Establishments,"52,049","4,560","18,062","5,789","4,782","33,193","13,310","3,762","50,265","1,784"
4411,Automobile dealers,Employment,"1,259,213",0,"37,996","37,210","64,479","139,685","573,480","394,068","1,107,233","151,980"
4411,Automobile dealers,"Annual Payroll ($1,000)","51,330,458","480,980","886,236","1,004,574","1,936,125","4,307,915","23,090,481","17,532,271","44,930,667","6,399,791"
4411,Automobile dealers,"Receipts ($1,000)","693,062,853","9,480,841","18,413,301","15,340,632","28,536,542","71,771,316","307,852,316","219,560,219","599,183,851","93,879,002"
44111,New car dealers,Firms,"22,478","1,171","2,746","1,501","2,883","8,301","11,618","2,433","22,352",126
44111,New car dealers,Establishments,"25,625","1,174","2,750","1,509","2,906","8,339","12,224","3,521","24,084","1,541"
44111,New car dealers,Employment,"1,138,977",0,"5,940","10,339","41,813","58,092","548,959","387,150","994,201","144,776"
44111,New car dealers,"Annual Payroll ($1,000)","47,866,732","357,917","183,973","307,278","1,292,144","2,141,312","22,287,787","17,276,598","41,705,697","6,161,035"
44111,New car dealers,"Receipts ($1,000)","638,732,031","6,702,896","2,907,504","5,042,380","20,106,899","34,759,679","298,277,650","216,261,817","549,299,146","89,432,885"
441110,New car dealers,Firms,"22,478","1,171","2,746","1,501","2,883","8,301","11,618","2,433","22,352",126
441110,New car dealers,Establishments,"25,625","1,174","2,750","1,509","2,906","8,339","12,224","3,521","24,084","1,541"
441110,New car dealers,Employment,"1,138,977",0,"5,940","10,339","41,813","58,092","548,959","387,150","994,201","144,776"
441110,New car dealers,"Annual Payroll ($1,000)","47,866,732","357,917","183,973","307,278","1,292,144","2,141,312","22,287,787","17,276,598","41,705,697","6,161,035"
441110,New car dealers,"Receipts ($1,000)","638,732,031","6,702,896","2,907,504","5,042,380","20,106,899","34,759,679","298,277,650","216,261,817","549,299,146","89,432,885"
44112,Used car dealers,Firms,"25,640","3,386","15,298","4,200","1,756","24,640",842,130,"25,612",28
44112,Used car dealers,Establishments,"26,424","3,386","15,312","4,280","1,876","24,854","1,086",241,"26,181",243
44112,Used car dealers,Employment,"120,236",0,"32,056","26,871","22,666","81,593","24,521","6,918","113,032","7,204"
44112,Used car dealers,"Annual Payroll ($1,000)","3,463,726","123,063","702,263","697,296","643,981","2,166,603","802,694","255,673","3,224,970","238,756"
44112,Used car dealers,"Receipts ($1,000)","54,330,822","2,777,945","15,505,797","10,298,252","8,429,643","37,011,637","9,574,666","3,298,402","49,884,705","4,446,117"
441120,Used car dealers,Firms,"25,640","3,386","15,298","4,200","1,756","24,640",842,130,"25,612",28
441120,Used car dealers,Establishments,"26,424","3,386","15,312","4,280","1,876","24,854","1,086",241,"26,181",243
441120,Used car dealers,Employment,"120,236",0,"32,056","26,871","22,666","81,593","24,521","6,918","113,032","7,204"
441120,Used car dealers,"Annual Payroll ($1,000)","3,463,726","123,063","702,263","697,296","643,981","2,166,603","802,694","255,673","3,224,970","238,756"
441120,Used car dealers,"Receipts ($1,000)","54,330,822","2,777,945","15,505,797","10,298,252","8,429,643","37,011,637","9,574,666","3,298,402","49,884,705","4,446,117"
4412,Other motor vehicle dealers,Firms,"14,982","1,688","6,124","3,135","2,248","13,195","1,667",95,"14,957",25
4412,Other motor vehicle dealers,Establishments,"16,224","1,688","6,128","3,167","2,366","13,349","2,059",284,"15,692",532
4412,Other motor vehicle dealers,Employment,"140,296",0,"13,820","20,830","30,194","64,844","55,160","10,390","130,394","9,902"
4412,Other motor vehicle dealers,"Annual Payroll ($1,000)","4,523,339","71,776","336,638","543,092","926,405","1,877,911","1,976,362","371,939","4,226,212","297,127"
4412,Other motor vehicle dealers,"Receipts ($1,000)","48,739,073","1,097,980","4,402,544","5,977,641","9,411,688","20,889,853","19,107,142","3,963,770","43,960,765","4,778,308"
44121,Recreational vehicle dealers,Firms,"2,909",241,"1,055",649,518,"2,463",401,37,"2,901",8
44121,Recreational vehicle dealers,Establishments,"3,145",241,"1,055",653,539,"2,488",503,102,"3,093",52
44121,Recreational vehicle dealers,Employment,"35,662",0,"2,538","4,333","6,994","13,865","14,252","4,607","32,724","2,938"
44121,Recreational vehicle dealers,"Annual Payroll ($1,000)","1,274,148","12,014","62,249","112,419","217,063","403,745","541,769","189,745","1,135,259","138,889"
44121,Recreational vehicle dealers,"Receipts ($1,000)","15,878,887","210,042","826,317","1,220,674","2,298,515","4,555,548","5,980,440","2,353,858","12,889,846","2,989,041"
441210,Recreational vehicle dealers,Firms,"2,909",241,"1,055",649,518,"2,463",401,37,"2,901",8
441210,Recreational vehicle dealers,Establishments,"3,145",241,"1,055",653,539,"2,488",503,102,"3,093",52
441210,Recreational vehicle dealers,Employment,"35,662",0,"2,538","4,333","6,994","13,865","14,252","4,607","32,724","2,938"
441210,Recreational vehicle dealers,"Annual Payroll ($1,000)","1,274,148","12,014","62,249","112,419","217,063","403,745","541,769","189,745","1,135,259","138,889"
441210,Recreational vehicle dealers,"Receipts ($1,000)","15,878,887","210,042","826,317","1,220,674","2,298,515","4,555,548","5,980,440","2,353,858","12,889,846","2,989,041"
